signal,budget,actual_bytes,stage,test_nll,test_kl,calib_kl,additive_pred_dkl,joint_dkl,hist,allocation
measured,45000,44908,PTQ,2.7978203296661377,0.3275569975376129,0.32456499338150024,0.12757658818736672,0.3207428017631173,"{""4"": 1, ""2"": 4, ""T"": 8, ""del"": 9, ""1"": 4, ""3"": 1}","{""unembed.W_U"": ""4"", ""blocks.3.mlp.W_out"": ""2"", ""blocks.3.mlp.W_in"": ""2"", ""blocks.3.attn.W_V"": ""T"", ""blocks.3.attn.W_K"": ""del"", ""blocks.3.attn.W_O"": ""del"", ""blocks.3.attn.W_Q"": ""del"", ""blocks.2.mlp.W_out"": ""T"", ""blocks.2.mlp.W_in"": ""T"", ""blocks.2.attn.W_V"": ""del"", ""blocks.2.attn.W_K"": ""del"", ""blocks.2.attn.W_O"": ""del"", ""blocks.2.attn.W_Q"": ""del"", ""blocks.1.mlp.W_out"": ""del"", ""blocks.1.mlp.W_in"": ""del"", ""blocks.1.attn.W_V"": ""T"", ""blocks.1.attn.W_K"": ""1"", ""blocks.1.attn.W_O"": ""T"", ""blocks.1.attn.W_Q"": ""1"", ""blocks.0.mlp.W_out"": ""T"", ""blocks.0.mlp.W_in"": ""T"", ""blocks.0.attn.W_V"": ""2"", ""blocks.0.attn.W_K"": ""1"", ""blocks.0.attn.W_O"": ""T"", ""blocks.0.attn.W_Q"": ""1"", ""pos_embed.W_pos"": ""2"", ""embed.W_E"": ""3""}"
measured,45000,44908,QAT1000_soft,2.51712965965271,0.044671230018138885,,,,"{""4"": 1, ""2"": 4, ""T"": 8, ""del"": 9, ""1"": 4, ""3"": 1}","{""unembed.W_U"": ""4"", ""blocks.3.mlp.W_out"": ""2"", ""blocks.3.mlp.W_in"": ""2"", ""blocks.3.attn.W_V"": ""T"", ""blocks.3.attn.W_K"": ""del"", ""blocks.3.attn.W_O"": ""del"", ""blocks.3.attn.W_Q"": ""del"", ""blocks.2.mlp.W_out"": ""T"", ""blocks.2.mlp.W_in"": ""T"", ""blocks.2.attn.W_V"": ""del"", ""blocks.2.attn.W_K"": ""del"", ""blocks.2.attn.W_O"": ""del"", ""blocks.2.attn.W_Q"": ""del"", ""blocks.1.mlp.W_out"": ""del"", ""blocks.1.mlp.W_in"": ""del"", ""blocks.1.attn.W_V"": ""T"", ""blocks.1.attn.W_K"": ""1"", ""blocks.1.attn.W_O"": ""T"", ""blocks.1.attn.W_Q"": ""1"", ""blocks.0.mlp.W_out"": ""T"", ""blocks.0.mlp.W_in"": ""T"", ""blocks.0.attn.W_V"": ""2"", ""blocks.0.attn.W_K"": ""1"", ""blocks.0.attn.W_O"": ""T"", ""blocks.0.attn.W_Q"": ""1"", ""pos_embed.W_pos"": ""2"", ""embed.W_E"": ""3""}"
measured,40000,39953,PTQ,2.896033763885498,0.4259304404258728,0.4236924648284912,0.18511210195720196,0.4198702732101083,"{""3"": 3, ""2"": 3, ""del"": 11, ""T"": 6, ""1"": 4}","{""unembed.W_U"": ""3"", ""blocks.3.mlp.W_out"": ""2"", ""blocks.3.mlp.W_in"": ""2"", ""blocks.3.attn.W_V"": ""del"", ""blocks.3.attn.W_K"": ""del"", ""blocks.3.attn.W_O"": ""del"", ""blocks.3.attn.W_Q"": ""del"", ""blocks.2.mlp.W_out"": ""T"", ""blocks.2.mlp.W_in"": ""T"", ""blocks.2.attn.W_V"": ""del"", ""blocks.2.attn.W_K"": ""del"", ""blocks.2.attn.W_O"": ""del"", ""blocks.2.attn.W_Q"": ""del"", ""blocks.1.mlp.W_out"": ""del"", ""blocks.1.mlp.W_in"": ""del"", ""blocks.1.attn.W_V"": ""T"", ""blocks.1.attn.W_K"": ""1"", ""blocks.1.attn.W_O"": ""T"", ""blocks.1.attn.W_Q"": ""1"", ""blocks.0.mlp.W_out"": ""T"", ""blocks.0.mlp.W_in"": ""del"", ""blocks.0.attn.W_V"": ""2"", ""blocks.0.attn.W_K"": ""1"", ""blocks.0.attn.W_O"": ""T"", ""blocks.0.attn.W_Q"": ""1"", ""pos_embed.W_pos"": ""3"", ""embed.W_E"": ""3""}"
measured,40000,39953,QAT1000_soft,2.544898509979248,0.07223764061927795,,,,"{""3"": 3, ""2"": 3, ""del"": 11, ""T"": 6, ""1"": 4}","{""unembed.W_U"": ""3"", ""blocks.3.mlp.W_out"": ""2"", ""blocks.3.mlp.W_in"": ""2"", ""blocks.3.attn.W_V"": ""del"", ""blocks.3.attn.W_K"": ""del"", ""blocks.3.attn.W_O"": ""del"", ""blocks.3.attn.W_Q"": ""del"", ""blocks.2.mlp.W_out"": ""T"", ""blocks.2.mlp.W_in"": ""T"", ""blocks.2.attn.W_V"": ""del"", ""blocks.2.attn.W_K"": ""del"", ""blocks.2.attn.W_O"": ""del"", ""blocks.2.attn.W_Q"": ""del"", ""blocks.1.mlp.W_out"": ""del"", ""blocks.1.mlp.W_in"": ""del"", ""blocks.1.attn.W_V"": ""T"", ""blocks.1.attn.W_K"": ""1"", ""blocks.1.attn.W_O"": ""T"", ""blocks.1.attn.W_Q"": ""1"", ""blocks.0.mlp.W_out"": ""T"", ""blocks.0.mlp.W_in"": ""del"", ""blocks.0.attn.W_V"": ""2"", ""blocks.0.attn.W_K"": ""1"", ""blocks.0.attn.W_O"": ""T"", ""blocks.0.attn.W_Q"": ""1"", ""pos_embed.W_pos"": ""3"", ""embed.W_E"": ""3""}"
measured,35000,34877,PTQ,3.009974718093872,0.5413258671760559,0.5395402312278748,0.25180071918293834,0.5357180396094918,"{""3"": 3, ""2"": 1, ""T"": 7, ""del"": 12, ""1"": 4}","{""unembed.W_U"": ""3"", ""blocks.3.mlp.W_out"": ""2"", ""blocks.3.mlp.W_in"": ""T"", ""blocks.3.attn.W_V"": ""del"", ""blocks.3.attn.W_K"": ""del"", ""blocks.3.attn.W_O"": ""del"", ""blocks.3.attn.W_Q"": ""del"", ""blocks.2.mlp.W_out"": ""T"", ""blocks.2.mlp.W_in"": ""T"", ""blocks.2.attn.W_V"": ""del"", ""blocks.2.attn.W_K"": ""del"", ""blocks.2.attn.W_O"": ""del"", ""blocks.2.attn.W_Q"": ""del"", ""blocks.1.mlp.W_out"": ""del"", ""blocks.1.mlp.W_in"": ""del"", ""blocks.1.attn.W_V"": ""T"", ""blocks.1.attn.W_K"": ""1"", ""blocks.1.attn.W_O"": ""T"", ""blocks.1.attn.W_Q"": ""1"", ""blocks.0.mlp.W_out"": ""del"", ""blocks.0.mlp.W_in"": ""del"", ""blocks.0.attn.W_V"": ""T"", ""blocks.0.attn.W_K"": ""1"", ""blocks.0.attn.W_O"": ""T"", ""blocks.0.attn.W_Q"": ""1"", ""pos_embed.W_pos"": ""3"", ""embed.W_E"": ""3""}"
measured,35000,34877,QAT1000_soft,2.550859212875366,0.07909858226776123,,,,"{""3"": 3, ""2"": 1, ""T"": 7, ""del"": 12, ""1"": 4}","{""unembed.W_U"": ""3"", ""blocks.3.mlp.W_out"": ""2"", ""blocks.3.mlp.W_in"": ""T"", ""blocks.3.attn.W_V"": ""del"", ""blocks.3.attn.W_K"": ""del"", ""blocks.3.attn.W_O"": ""del"", ""blocks.3.attn.W_Q"": ""del"", ""blocks.2.mlp.W_out"": ""T"", ""blocks.2.mlp.W_in"": ""T"", ""blocks.2.attn.W_V"": ""del"", ""blocks.2.attn.W_K"": ""del"", ""blocks.2.attn.W_O"": ""del"", ""blocks.2.attn.W_Q"": ""del"", ""blocks.1.mlp.W_out"": ""del"", ""blocks.1.mlp.W_in"": ""del"", ""blocks.1.attn.W_V"": ""T"", ""blocks.1.attn.W_K"": ""1"", ""blocks.1.attn.W_O"": ""T"", ""blocks.1.attn.W_Q"": ""1"", ""blocks.0.mlp.W_out"": ""del"", ""blocks.0.mlp.W_in"": ""del"", ""blocks.0.attn.W_V"": ""T"", ""blocks.0.attn.W_K"": ""1"", ""blocks.0.attn.W_O"": ""T"", ""blocks.0.attn.W_Q"": ""1"", ""pos_embed.W_pos"": ""3"", ""embed.W_E"": ""3""}"
