target,N,mode,path,total_steps,bytes,test_nll,test_kl,d_mnat,seconds
uniform2,50,direct,2-bit x 5N,250,70272,2.513983726501465,0.04161107912659645,37.84966468811035,37
uniform2,50,anneal,8->6->4->3->2 (latents kept),250,70272,2.528618574142456,0.05808120593428612,52.48451232910156,31
uniform2,200,direct,2-bit x 5N,1000,70272,2.507781982421875,0.03462889418005943,31.647920608520508,127
uniform2,200,anneal,8->6->4->3->2 (latents kept),1000,70272,2.505387306213379,0.03361320495605469,29.253244400024414,167
measured70272,50,direct,2-bit x 5N,250,70239,2.4865293502807617,0.014291593804955482,10.395288467407227,38
measured70272,50,anneal,8->6->4->3->2 (latents kept),250,70239,2.4910342693328857,0.01863675005733967,14.90020751953125,41
measured70272,200,direct,2-bit x 5N,1000,70239,2.4836294651031494,0.01133869681507349,7.495403289794922,156
measured70272,200,anneal,8->6->4->3->2 (latents kept),1000,70239,2.4841511249542236,0.012062697671353817,8.01706314086914,150
