method,bits,test_nll,test_kl,d_mnat
GPTQ-ref(propagated),4,2.4782395362854004,0.0058421301655471325,2.1054744720458984
GPTQ-H(w*)-noprop,4,2.4781222343444824,0.0057734898291528225,1.9881725311279297
ThermalGPTQ-50states,4,2.4783449172973633,0.005964124109596014,2.210855484008789
GPTQ-ref(propagated),3,2.4849588871002197,0.012314500287175179,8.824825286865234
GPTQ-H(w*)-noprop,3,2.4857139587402344,0.012795059941709042,9.579896926879883
ThermalGPTQ-50states,3,2.4858620166778564,0.013286111876368523,9.727954864501953
GPTQ-ref(propagated),2,2.54776668548584,0.07589349895715714,71.63262367248535
GPTQ-H(w*)-noprop,2,2.581475019454956,0.11201079934835434,105.34095764160156
ThermalGPTQ-50states,2,2.589351177215576,0.11756930500268936,113.21711540222168
