order,target,removed_params,params_left,n_dead,deleted_nll,recovered_nll,d_mnat,r32_ref_params_left,r32_ref_d_mnat,dead
thermal_var_desc_fine,165520,167424,38704,48,3.0833098888397217,2.6809864044189453,204.85234260559082,40608,33.22958946228027,qk.L3.2;ngrp.L3.7;head.L3.2;head.L1.3;head.L1.0;head.L2.2;ngrp.L3.6;ngrp.L2.7;qk.L2.3;head.L3.3;head.L3.1;head.L2.3;qk.L3.3;head.L1.2;qk.L0.0;ngrp.L3.4;ngrp.L3.5;head.L2.1;ngrp.L2.6;ngrp.L3.2;ngrp.L1.7;ngrp.L3.3;ngrp.L2.5;ngrp.L2.3;head.L2.0;qk.L3.0;ngrp.L1.6;ngrp.L2.4;ngrp.L2.2;ngrp.L0.7;head.L3.0;ngrp.L2.0;ngrp.L3.1;ngrp.L2.1;head.L0.0;ngrp.L1.0;head.L1.1;ngrp.L1.5;ngrp.L0.6;ngrp.L1.1;qk.L2.2;ngrp.L1.4;qk.L1.3;qk.L0.3;head.L0.2;ngrp.L1.3;ngrp.L1.2;ngrp.L0.4
thermal_var_desc_fine,186384,190144,15984,61,3.6288883686065674,3.1420483589172363,665.9142971038818,13536,186.48695945739746,qk.L3.2;ngrp.L3.7;head.L3.2;head.L1.3;head.L1.0;head.L2.2;ngrp.L3.6;ngrp.L2.7;qk.L2.3;head.L3.3;head.L3.1;head.L2.3;qk.L3.3;head.L1.2;qk.L0.0;ngrp.L3.4;ngrp.L3.5;head.L2.1;ngrp.L2.6;ngrp.L3.2;ngrp.L1.7;ngrp.L3.3;ngrp.L2.5;ngrp.L2.3;head.L2.0;qk.L3.0;ngrp.L1.6;ngrp.L2.4;ngrp.L2.2;ngrp.L0.7;head.L3.0;ngrp.L2.0;ngrp.L3.1;ngrp.L2.1;head.L0.0;ngrp.L1.0;head.L1.1;ngrp.L1.5;ngrp.L0.6;ngrp.L1.1;qk.L2.2;ngrp.L1.4;qk.L1.3;qk.L0.3;head.L0.2;ngrp.L1.3;ngrp.L1.2;ngrp.L0.4;ngrp.L0.5;head.L0.3;ngrp.L0.3;ngrp.L0.2;qk.L1.1;head.L0.1;qk.L0.1;qk.L1.2;qk.L3.1;qk.L2.0;qk.L1.0;qk.L2.1;ngrp.L3.0
thermal_var_desc_fine,192592,194272,11856,62,3.6739730834960938,3.330579996109009,854.4459342956543,13536,186.48695945739746,qk.L3.2;ngrp.L3.7;head.L3.2;head.L1.3;head.L1.0;head.L2.2;ngrp.L3.6;ngrp.L2.7;qk.L2.3;head.L3.3;head.L3.1;head.L2.3;qk.L3.3;head.L1.2;qk.L0.0;ngrp.L3.4;ngrp.L3.5;head.L2.1;ngrp.L2.6;ngrp.L3.2;ngrp.L1.7;ngrp.L3.3;ngrp.L2.5;ngrp.L2.3;head.L2.0;qk.L3.0;ngrp.L1.6;ngrp.L2.4;ngrp.L2.2;ngrp.L0.7;head.L3.0;ngrp.L2.0;ngrp.L3.1;ngrp.L2.1;head.L0.0;ngrp.L1.0;head.L1.1;ngrp.L1.5;ngrp.L0.6;ngrp.L1.1;qk.L2.2;ngrp.L1.4;qk.L1.3;qk.L0.3;head.L0.2;ngrp.L1.3;ngrp.L1.2;ngrp.L0.4;ngrp.L0.5;head.L0.3;ngrp.L0.3;ngrp.L0.2;qk.L1.1;head.L0.1;qk.L0.1;qk.L1.2;qk.L3.1;qk.L2.0;qk.L1.0;qk.L2.1;ngrp.L3.0;ngrp.L0.0
quench_asc,6208,8256,197872,2,2.47623348236084,2.475728750228882,-0.40531158447265625,199920,-1.230001449584961,ngrp.L3.7;ngrp.L2.7
quench_asc,39392,43360,162768,11,2.479146957397461,2.476468086242676,0.33402442932128906,166736,-0.3612041473388672,ngrp.L3.7;ngrp.L2.7;ngrp.L1.7;ngrp.L2.6;ngrp.L2.5;ngrp.L0.7;qk.L1.2;ngrp.L1.6;ngrp.L2.4;ngrp.L1.5;ngrp.L0.6
quench_asc,51792,55760,150368,15,2.481236219406128,2.477146625518799,1.012563705444336,154336,0.5824565887451172,ngrp.L3.7;ngrp.L2.7;ngrp.L1.7;ngrp.L2.6;ngrp.L2.5;ngrp.L0.7;qk.L1.2;ngrp.L1.6;ngrp.L2.4;ngrp.L1.5;ngrp.L0.6;head.L1.2;qk.L2.3;ngrp.L1.3;ngrp.L3.6
quench_asc,95216,97120,109008,29,2.5017166137695312,2.482658863067627,6.524801254272461,110912,2.9366016387939453,ngrp.L3.7;ngrp.L2.7;ngrp.L1.7;ngrp.L2.6;ngrp.L2.5;ngrp.L0.7;qk.L1.2;ngrp.L1.6;ngrp.L2.4;ngrp.L1.5;ngrp.L0.6;head.L1.2;qk.L2.3;ngrp.L1.3;ngrp.L3.6;ngrp.L1.4;head.L2.3;ngrp.L0.5;ngrp.L2.3;qk.L2.0;qk.L3.0;qk.L2.2;ngrp.L0.4;ngrp.L1.2;qk.L3.2;head.L2.0;ngrp.L0.3;head.L3.0;qk.L2.1
quench_asc,128256,132272,73856,41,2.550708770751953,2.496018886566162,19.884824752807617,77872,7.451295852661133,ngrp.L3.7;ngrp.L2.7;ngrp.L1.7;ngrp.L2.6;ngrp.L2.5;ngrp.L0.7;qk.L1.2;ngrp.L1.6;ngrp.L2.4;ngrp.L1.5;ngrp.L0.6;head.L1.2;qk.L2.3;ngrp.L1.3;ngrp.L3.6;ngrp.L1.4;head.L2.3;ngrp.L0.5;ngrp.L2.3;qk.L2.0;qk.L3.0;qk.L2.2;ngrp.L0.4;ngrp.L1.2;qk.L3.2;head.L2.0;ngrp.L0.3;head.L3.0;qk.L2.1;head.L3.1;head.L3.2;ngrp.L2.2;qk.L0.3;qk.L3.1;head.L2.2;head.L2.1;qk.L0.2;ngrp.L1.1;ngrp.L0.2;ngrp.L3.5;head.L3.3
quench_asc,140656,142624,63504,46,2.5752031803131104,2.5061702728271484,30.036211013793945,65472,13.688087463378906,ngrp.L3.7;ngrp.L2.7;ngrp.L1.7;ngrp.L2.6;ngrp.L2.5;ngrp.L0.7;qk.L1.2;ngrp.L1.6;ngrp.L2.4;ngrp.L1.5;ngrp.L0.6;head.L1.2;qk.L2.3;ngrp.L1.3;ngrp.L3.6;ngrp.L1.4;head.L2.3;ngrp.L0.5;ngrp.L2.3;qk.L2.0;qk.L3.0;qk.L2.2;ngrp.L0.4;ngrp.L1.2;qk.L3.2;head.L2.0;ngrp.L0.3;head.L3.0;qk.L2.1;head.L3.1;head.L3.2;ngrp.L2.2;qk.L0.3;qk.L3.1;head.L2.2;head.L2.1;qk.L0.2;ngrp.L1.1;ngrp.L0.2;ngrp.L3.5;head.L3.3;qk.L3.3;qk.L1.0;head.L0.3;qk.L1.3;ngrp.L2.1
quench_asc,165520,167424,38704,55,2.6644539833068848,2.5751616954803467,99.02763366699219,40608,33.22958946228027,ngrp.L3.7;ngrp.L2.7;ngrp.L1.7;ngrp.L2.6;ngrp.L2.5;ngrp.L0.7;qk.L1.2;ngrp.L1.6;ngrp.L2.4;ngrp.L1.5;ngrp.L0.6;head.L1.2;qk.L2.3;ngrp.L1.3;ngrp.L3.6;ngrp.L1.4;head.L2.3;ngrp.L0.5;ngrp.L2.3;qk.L2.0;qk.L3.0;qk.L2.2;ngrp.L0.4;ngrp.L1.2;qk.L3.2;head.L2.0;ngrp.L0.3;head.L3.0;qk.L2.1;head.L3.1;head.L3.2;ngrp.L2.2;qk.L0.3;qk.L3.1;head.L2.2;head.L2.1;qk.L0.2;ngrp.L1.1;ngrp.L0.2;ngrp.L3.5;head.L3.3;qk.L3.3;qk.L1.0;head.L0.3;qk.L1.3;ngrp.L2.1;head.L1.3;head.L1.0;ngrp.L0.1;qk.L0.1;head.L0.2;ngrp.L3.4;ngrp.L3.3;qk.L1.1;head.L0.1
