method,bits,granularity,symmetric,citation,rank_ratio,weighted,epochs,n_fisher,lr,params,bytes,loss,ranks,loss_per_pos
FWSVD,16,per_channel,False,"Hsu et al., ICLR 2022, arXiv:2207.00112",0.0625,True,0,4096,0.0001,25216,100864,3.7543084621429443,"{""blocks.0.attn.W_Q"": 4, ""blocks.0.attn.W_O"": 4, ""blocks.0.attn.W_K"": 4, ""blocks.0.attn.W_V"": 4, ""blocks.0.mlp.W_in"": 4, ""blocks.0.mlp.W_out"": 4, ""blocks.1.attn.W_Q"": 4, ""blocks.1.attn.W_O"": 4, ""blocks.1.attn.W_K"": 4, ""blocks.1.attn.W_V"": 4, ""blocks.1.mlp.W_in"": 4, ""blocks.1.mlp.W_out"": 4, ""blocks.2.attn.W_Q"": 4, ""blocks.2.attn.W_O"": 4, ""blocks.2.attn.W_K"": 4, ""blocks.2.attn.W_V"": 4, ""blocks.2.mlp.W_in"": 4, ""blocks.2.mlp.W_out"": 4, ""blocks.3.attn.W_Q"": 4, ""blocks.3.attn.W_O"": 4, ""blocks.3.attn.W_K"": 4, ""blocks.3.attn.W_V"": 4, ""blocks.3.mlp.W_in"": 4, ""blocks.3.mlp.W_out"": 4, ""unembed.W_U"": 3}","[3.5569, 3.6841, 3.6717, 3.7755, 3.7365, 3.6703, 3.7843, 3.7592, 3.7008, 3.785, 3.8614, 3.7926, 3.7295, 3.9289, 3.91, 3.7221]"
SVD,16,per_channel,False,plain truncated SVD (paper's baseline),0.0625,False,0,4096,0.0001,25216,100864,3.6672630310058594,"{""blocks.0.attn.W_Q"": 4, ""blocks.0.attn.W_O"": 4, ""blocks.0.attn.W_K"": 4, ""blocks.0.attn.W_V"": 4, ""blocks.0.mlp.W_in"": 4, ""blocks.0.mlp.W_out"": 4, ""blocks.1.attn.W_Q"": 4, ""blocks.1.attn.W_O"": 4, ""blocks.1.attn.W_K"": 4, ""blocks.1.attn.W_V"": 4, ""blocks.1.mlp.W_in"": 4, ""blocks.1.mlp.W_out"": 4, ""blocks.2.attn.W_Q"": 4, ""blocks.2.attn.W_O"": 4, ""blocks.2.attn.W_K"": 4, ""blocks.2.attn.W_V"": 4, ""blocks.2.mlp.W_in"": 4, ""blocks.2.mlp.W_out"": 4, ""blocks.3.attn.W_Q"": 4, ""blocks.3.attn.W_O"": 4, ""blocks.3.attn.W_K"": 4, ""blocks.3.attn.W_V"": 4, ""blocks.3.mlp.W_in"": 4, ""blocks.3.mlp.W_out"": 4, ""unembed.W_U"": 3}","[3.4334, 3.5709, 3.5424, 3.7415, 3.6204, 3.5461, 3.736, 3.7009, 3.5774, 3.6809, 3.8205, 3.6927, 3.5824, 3.9003, 3.9152, 3.6151]"
FWSVD,16,per_channel,False,"Hsu et al., ICLR 2022, arXiv:2207.00112",0.5,True,1,4096,0.0001,156592,626368,2.4778084754943848,"{""blocks.0.attn.W_Q"": 32, ""blocks.0.attn.W_O"": 32, ""blocks.0.attn.W_K"": 32, ""blocks.0.attn.W_V"": 32, ""blocks.0.mlp.W_in"": 32, ""blocks.0.mlp.W_out"": 32, ""blocks.1.attn.W_Q"": 32, ""blocks.1.attn.W_O"": 32, ""blocks.1.attn.W_K"": 32, ""blocks.1.attn.W_V"": 32, ""blocks.1.mlp.W_in"": 32, ""blocks.1.mlp.W_out"": 32, ""blocks.2.attn.W_Q"": 32, ""blocks.2.attn.W_O"": 32, ""blocks.2.attn.W_K"": 32, ""blocks.2.attn.W_V"": 32, ""blocks.2.mlp.W_in"": 32, ""blocks.2.mlp.W_out"": 32, ""blocks.3.attn.W_Q"": 32, ""blocks.3.attn.W_O"": 32, ""blocks.3.attn.W_K"": 32, ""blocks.3.attn.W_V"": 32, ""blocks.3.mlp.W_in"": 32, ""blocks.3.mlp.W_out"": 32, ""unembed.W_U"": 24}","[2.6706, 2.5473, 2.5037, 2.4689, 2.4819, 2.4675, 2.4358, 2.4448, 2.4628, 2.4293, 2.4571, 2.4597, 2.4511, 2.4481, 2.4482, 2.468]"
SVD,16,per_channel,False,plain truncated SVD (paper's baseline),0.5,False,1,4096,0.0001,156592,626368,2.4779863357543945,"{""blocks.0.attn.W_Q"": 32, ""blocks.0.attn.W_O"": 32, ""blocks.0.attn.W_K"": 32, ""blocks.0.attn.W_V"": 32, ""blocks.0.mlp.W_in"": 32, ""blocks.0.mlp.W_out"": 32, ""blocks.1.attn.W_Q"": 32, ""blocks.1.attn.W_O"": 32, ""blocks.1.attn.W_K"": 32, ""blocks.1.attn.W_V"": 32, ""blocks.1.mlp.W_in"": 32, ""blocks.1.mlp.W_out"": 32, ""blocks.2.attn.W_Q"": 32, ""blocks.2.attn.W_O"": 32, ""blocks.2.attn.W_K"": 32, ""blocks.2.attn.W_V"": 32, ""blocks.2.mlp.W_in"": 32, ""blocks.2.mlp.W_out"": 32, ""blocks.3.attn.W_Q"": 32, ""blocks.3.attn.W_O"": 32, ""blocks.3.attn.W_K"": 32, ""blocks.3.attn.W_V"": 32, ""blocks.3.mlp.W_in"": 32, ""blocks.3.mlp.W_out"": 32, ""unembed.W_U"": 24}","[2.6714, 2.5472, 2.5046, 2.4683, 2.483, 2.4696, 2.4362, 2.445, 2.4622, 2.4289, 2.4563, 2.459, 2.4521, 2.4478, 2.4485, 2.4678]"
FWSVD,16,per_channel,False,"Hsu et al., ICLR 2022, arXiv:2207.00112",0.25,True,1,4096,0.0001,81520,326080,2.485142230987549,"{""blocks.0.attn.W_Q"": 16, ""blocks.0.attn.W_O"": 16, ""blocks.0.attn.W_K"": 16, ""blocks.0.attn.W_V"": 16, ""blocks.0.mlp.W_in"": 16, ""blocks.0.mlp.W_out"": 16, ""blocks.1.attn.W_Q"": 16, ""blocks.1.attn.W_O"": 16, ""blocks.1.attn.W_K"": 16, ""blocks.1.attn.W_V"": 16, ""blocks.1.mlp.W_in"": 16, ""blocks.1.mlp.W_out"": 16, ""blocks.2.attn.W_Q"": 16, ""blocks.2.attn.W_O"": 16, ""blocks.2.attn.W_K"": 16, ""blocks.2.attn.W_V"": 16, ""blocks.2.mlp.W_in"": 16, ""blocks.2.mlp.W_out"": 16, ""blocks.3.attn.W_Q"": 16, ""blocks.3.attn.W_O"": 16, ""blocks.3.attn.W_K"": 16, ""blocks.3.attn.W_V"": 16, ""blocks.3.mlp.W_in"": 16, ""blocks.3.mlp.W_out"": 16, ""unembed.W_U"": 12}","[2.6794, 2.5541, 2.5098, 2.4752, 2.4906, 2.4749, 2.4415, 2.4514, 2.4703, 2.437, 2.4635, 2.4667, 2.4585, 2.4572, 2.4567, 2.4754]"
SVD,16,per_channel,False,plain truncated SVD (paper's baseline),0.25,False,1,4096,0.0001,81520,326080,2.485745429992676,"{""blocks.0.attn.W_Q"": 16, ""blocks.0.attn.W_O"": 16, ""blocks.0.attn.W_K"": 16, ""blocks.0.attn.W_V"": 16, ""blocks.0.mlp.W_in"": 16, ""blocks.0.mlp.W_out"": 16, ""blocks.1.attn.W_Q"": 16, ""blocks.1.attn.W_O"": 16, ""blocks.1.attn.W_K"": 16, ""blocks.1.attn.W_V"": 16, ""blocks.1.mlp.W_in"": 16, ""blocks.1.mlp.W_out"": 16, ""blocks.2.attn.W_Q"": 16, ""blocks.2.attn.W_O"": 16, ""blocks.2.attn.W_K"": 16, ""blocks.2.attn.W_V"": 16, ""blocks.2.mlp.W_in"": 16, ""blocks.2.mlp.W_out"": 16, ""blocks.3.attn.W_Q"": 16, ""blocks.3.attn.W_O"": 16, ""blocks.3.attn.W_K"": 16, ""blocks.3.attn.W_V"": 16, ""blocks.3.mlp.W_in"": 16, ""blocks.3.mlp.W_out"": 16, ""unembed.W_U"": 12}","[2.6797, 2.5524, 2.5114, 2.4773, 2.4909, 2.4774, 2.442, 2.4526, 2.4708, 2.4383, 2.4655, 2.4671, 2.4584, 2.4564, 2.4573, 2.4744]"
FWSVD,16,per_channel,False,"Hsu et al., ICLR 2022, arXiv:2207.00112",0.125,True,1,4096,0.0001,43984,175936,2.5156490802764893,"{""blocks.0.attn.W_Q"": 8, ""blocks.0.attn.W_O"": 8, ""blocks.0.attn.W_K"": 8, ""blocks.0.attn.W_V"": 8, ""blocks.0.mlp.W_in"": 8, ""blocks.0.mlp.W_out"": 8, ""blocks.1.attn.W_Q"": 8, ""blocks.1.attn.W_O"": 8, ""blocks.1.attn.W_K"": 8, ""blocks.1.attn.W_V"": 8, ""blocks.1.mlp.W_in"": 8, ""blocks.1.mlp.W_out"": 8, ""blocks.2.attn.W_Q"": 8, ""blocks.2.attn.W_O"": 8, ""blocks.2.attn.W_K"": 8, ""blocks.2.attn.W_V"": 8, ""blocks.2.mlp.W_in"": 8, ""blocks.2.mlp.W_out"": 8, ""blocks.3.attn.W_Q"": 8, ""blocks.3.attn.W_O"": 8, ""blocks.3.attn.W_K"": 8, ""blocks.3.attn.W_V"": 8, ""blocks.3.mlp.W_in"": 8, ""blocks.3.mlp.W_out"": 8, ""unembed.W_U"": 6}","[2.699, 2.5833, 2.5399, 2.5008, 2.5232, 2.5059, 2.4737, 2.4805, 2.5024, 2.4714, 2.4952, 2.498, 2.4914, 2.4926, 2.4894, 2.5038]"
SVD,16,per_channel,False,plain truncated SVD (paper's baseline),0.125,False,1,4096,0.0001,43984,175936,2.5185117721557617,"{""blocks.0.attn.W_Q"": 8, ""blocks.0.attn.W_O"": 8, ""blocks.0.attn.W_K"": 8, ""blocks.0.attn.W_V"": 8, ""blocks.0.mlp.W_in"": 8, ""blocks.0.mlp.W_out"": 8, ""blocks.1.attn.W_Q"": 8, ""blocks.1.attn.W_O"": 8, ""blocks.1.attn.W_K"": 8, ""blocks.1.attn.W_V"": 8, ""blocks.1.mlp.W_in"": 8, ""blocks.1.mlp.W_out"": 8, ""blocks.2.attn.W_Q"": 8, ""blocks.2.attn.W_O"": 8, ""blocks.2.attn.W_K"": 8, ""blocks.2.attn.W_V"": 8, ""blocks.2.mlp.W_in"": 8, ""blocks.2.mlp.W_out"": 8, ""blocks.3.attn.W_Q"": 8, ""blocks.3.attn.W_O"": 8, ""blocks.3.attn.W_K"": 8, ""blocks.3.attn.W_V"": 8, ""blocks.3.mlp.W_in"": 8, ""blocks.3.mlp.W_out"": 8, ""unembed.W_U"": 6}","[2.6996, 2.5836, 2.542, 2.5029, 2.5256, 2.5107, 2.4769, 2.4837, 2.5027, 2.4766, 2.5029, 2.5, 2.494, 2.494, 2.4941, 2.5069]"
FWSVD,16,per_channel,False,"Hsu et al., ICLR 2022, arXiv:2207.00112",0.0625,True,1,4096,0.0001,25216,100864,2.6471800804138184,"{""blocks.0.attn.W_Q"": 4, ""blocks.0.attn.W_O"": 4, ""blocks.0.attn.W_K"": 4, ""blocks.0.attn.W_V"": 4, ""blocks.0.mlp.W_in"": 4, ""blocks.0.mlp.W_out"": 4, ""blocks.1.attn.W_Q"": 4, ""blocks.1.attn.W_O"": 4, ""blocks.1.attn.W_K"": 4, ""blocks.1.attn.W_V"": 4, ""blocks.1.mlp.W_in"": 4, ""blocks.1.mlp.W_out"": 4, ""blocks.2.attn.W_Q"": 4, ""blocks.2.attn.W_O"": 4, ""blocks.2.attn.W_K"": 4, ""blocks.2.attn.W_V"": 4, ""blocks.2.mlp.W_in"": 4, ""blocks.2.mlp.W_out"": 4, ""blocks.3.attn.W_Q"": 4, ""blocks.3.attn.W_O"": 4, ""blocks.3.attn.W_K"": 4, ""blocks.3.attn.W_V"": 4, ""blocks.3.mlp.W_in"": 4, ""blocks.3.mlp.W_out"": 4, ""unembed.W_U"": 3}","[2.782, 2.6892, 2.6645, 2.629, 2.6587, 2.6438, 2.6122, 2.6208, 2.6387, 2.6199, 2.6384, 2.6308, 2.6318, 2.6216, 2.6363, 2.637]"
SVD,16,per_channel,False,plain truncated SVD (paper's baseline),0.0625,False,1,4096,0.0001,25216,100864,2.6753573417663574,"{""blocks.0.attn.W_Q"": 4, ""blocks.0.attn.W_O"": 4, ""blocks.0.attn.W_K"": 4, ""blocks.0.attn.W_V"": 4, ""blocks.0.mlp.W_in"": 4, ""blocks.0.mlp.W_out"": 4, ""blocks.1.attn.W_Q"": 4, ""blocks.1.attn.W_O"": 4, ""blocks.1.attn.W_K"": 4, ""blocks.1.attn.W_V"": 4, ""blocks.1.mlp.W_in"": 4, ""blocks.1.mlp.W_out"": 4, ""blocks.2.attn.W_Q"": 4, ""blocks.2.attn.W_O"": 4, ""blocks.2.attn.W_K"": 4, ""blocks.2.attn.W_V"": 4, ""blocks.2.mlp.W_in"": 4, ""blocks.2.mlp.W_out"": 4, ""blocks.3.attn.W_Q"": 4, ""blocks.3.attn.W_O"": 4, ""blocks.3.attn.W_K"": 4, ""blocks.3.attn.W_V"": 4, ""blocks.3.mlp.W_in"": 4, ""blocks.3.mlp.W_out"": 4, ""unembed.W_U"": 3}","[2.8191, 2.717, 2.6806, 2.6665, 2.6843, 2.6712, 2.641, 2.6444, 2.675, 2.6456, 2.6642, 2.6542, 2.6635, 2.6548, 2.6595, 2.6649]"
